variant,sp_idx,SPCD,sp_code,default_sdimax,calibrated_sdimax,pct_change,abs_change
SN,14,132,VP,499,346.5999283795047,-30.541096517133326,-152.40007162049528
SN,15,221,BY,692,509.35910310209414,-26.393193193339,-182.64089689790586
SN,16,222,PC,623,518.1493655397775,-16.82995737724278,-104.85063446022252
SN,17,260,HM,518,368.8078199797392,-28.801579154490508,-149.19218002026082
SN,18,311,FM,371,322.9131521581651,-12.96141451262397,-48.086847841834924
SN,19,313,BE,344,265.3228759371469,-22.871256995015443,-78.67712406285312
SN,20,316,RM,421,371.58288211940675,-11.738032750734739,-49.41711788059325
SN,21,317,SV,590,306.33001808239067,-48.079657952137175,-283.66998191760933
SN,22,318,SM,371,334.3570986364229,-9.876792820371184,-36.642901363577096
SN,23,330,BU,371,NA,NA,NA
SN,24,370,BB,400,317.96509930931444,-20.50872517267139,-82.03490069068556
SN,25,372,SB,350,344.4850085726152,-1.575711836395661,-5.514991427384814
SN,26,391,AH,375,306.0266216342045,-18.392900897545466,-68.9733783657955
SN,27,400,HI,276,310.6302496888404,12.547191916246529,34.63024968884042
SN,28,450,CA,492,NA,NA,NA
SN,29,460,HB,420,338.0737632217981,-19.50624685195283,-81.92623677820188
SN,30,471,RD,422,376.7313213549378,-10.72717503437493,-45.26867864506221
SN,31,491,DW,257,305.0885946977604,18.711515446599385,48.08859469776041
SN,32,521,PS,147,325.29133553766036,121.28662281473493,178.29133553766036
SN,33,531,AB,364,324.70409566614154,-10.79557811369738,-39.29590433385846
SN,34,540,AS,414,472.3988143861195,14.105993813072345,58.39881438611951
SN,35,541,WA,408,275.8466942218853,-32.39051612208694,-132.1533057781147
SN,36,543,BA,423,NA,NA,NA
SN,37,544,GA,414,362.7940255446782,-12.368592863604293,-51.20597445532178
SN,38,552,HL,338,220.80275555309868,-34.67374096062169,-117.19724444690132
SN,39,555,LB,492,469.73083060875473,-4.526253941310014,-22.26916939124527
SN,40,580,HA,430,NA,NA,NA
SN,41,591,HY,155,371.3147138202981,139.55787988406328,216.3147138202981
SN,42,601,BN,283,NA,NA,NA
SN,43,602,WN,283,246.24367108661153,-12.988102089536563,-36.75632891338847
SN,44,611,SU,430,352.1096499928451,-18.114034885384857,-77.8903500071549
SN,45,621,YP,478,374.2477216457317,-21.705497563654454,-103.7522783542683
SN,46,650,MG,492,NA,NA,NA
SN,47,651,CT,415,293.1476311839452,-29.362016582181884,-121.85236881605482
